attributeName	code	definition
BreedingStatus	-9999	missing values code
BreedingStatus	DD	Distraction Display
BreedingStatus	FC	Food carry
BreedingStatus	FL	Fledgling
BreedingStatus	FS	Fecal sac carry
BreedingStatus	M	Material carry
BreedingStatus	N	Nest found
BreedingStatus	N and FC	Nest found with food carry
DataUploadedCADC	0	Data not uploaded to CADC repository
DataUploadedCADC	1	Data uploaded to CADC repository
DetectionCue	-9999	missing values code
DetectionCue	C	Call or drumming observation
DetectionCue	S	Singing observation
DetectionCue	V	Visual observation
DistanceBin	-9999	missing values code
DistanceBin	<50	Less than 50m from observer
DistanceBin	>50	Greater than 50m from observer
DistanceBin	FlyOver	Flyover
DistanceBinID	-9999	missing values code
DistanceBinID	FLO	Flyover
DistanceBinID	G50	Greater than 50m from observer
DistanceBinID	L50	Less than 50m from observer
levelQC	0	"Data entered not QC'd ""raw"""
levelQC	1	Data entered QC'd and cleaned
Project	PEPR	Project code for Pepperwood Preserve
Protocol	FR50	 Fixed Radius 50m point count
Spp	ACWO	Acorn Woodpecker (Melanerpes formicivorus)
Spp	ALHU	Allen's Hummingbird (Selasphorus sasin)
Spp	AMCR	American Crow (Corvus brachyrhynchos)
Spp	AMGO	American Goldfinch (Spinus tristis)
Spp	AMKE	American Kestrel (Falco sparverius)
Spp	AMRO	American Robin (Turdus migratorius)
Spp	ANHU	Anna's Hummingbird (Calypte anna)
Spp	ATFL	Ash-throated Flycatcher (Myiarchus cinerascens)
Spp	BARS	Barn Swallow (Hirundo rustica)
Spp	BEWR	Bewick's Wren (Thryomanes bewickii)
Spp	BGGN	Blue-gray Gnatcatcher (Polioptila caerulea)
Spp	BHCO	Brown-headed Cowbird (Molothrus ater)
Spp	BHGR	Black-headed Grosbeak (Pheucticus melanocephalus)
Spp	BLPH	Black Phoebe (Sayornis nigricans)
Spp	BRBL	Brewer's Blackbird (Euphagus cyanocephalus)
Spp	BRCR	Brown Creeper (Certhia americana)
Spp	BTPI	Band-tailed Pigeon (Patagioenas fasciata)
Spp	BTYW	Black-throated Gray Warbler (Dendroica nigrescens)
